Overheid,Regeling,Ontvanger,Beleid,Realisatie,Jaar
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,Mee Nederland,3,111842,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,Mee Nederland,6,80500,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Meesterwerk B.V.,4,4554,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Meet B.V.,4,2424,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,MELKVEE EN ZORGBOERDERIJ,4,725,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Melkveehouderij P.J. de Moel,4,371,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Men Training Salland,4,3442,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Beleidskader Anonieme E-mental health,Mentalshare Direct B.V.,2,173566.13,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Menz.nu B.V.,4,1890,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,MERSON CARE BV,4,10744,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Met de Thuiszorg B.V.,4,6327,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,MIDDIN,4,493676,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Mienskipssintrum Leppehiem,4,43895,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Mimoza Thuiszorg Gelderland,4,1670,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Miro Thuis,4,1891,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,MISSIEZUSTERS DIENARESSEN VAN,4,3155,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Mitralis Expertise Centrum Wondzorg,4,253,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,MOB Maatschappelijk Ondersteuningsb,4,66419,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,MOGROEP,3,219150,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,MON-ZORG B.V.,4,3524,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,MONICARE THUIS IN ZORG,4,2709,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,MULTIPLE SCLEROSE VERENIGING,4,35000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Muthher Al-Rushdy,4,1518,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,MUTSAERSSTICHTING,4,105412,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,MUTSAERSSTICHTING,4,25593,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,"Mw. D.M. Kho, huisarts",4,827,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,"Mw. M.I. Rekers, huisarts",4,287,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Mycare Groningen,4,337,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,N. ZONRUITER EN G. BLOM,4,979,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,N.J.C. Eyck,4,1130,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,N.v.d. Meer Huisarts,4,405,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NATIONAAL COMITE 4 EN 5 MEI,7,5803170,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NATIONALE HANDELS ACADEMIE,4,852,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NATIONALE HOORSTICHTING,1,200000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NATIONALE JEUGDRAAD,5,779810,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,NATIONALE VERENIGING LE-PATIENTEN,4,35000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,NATIONALE VERENIGING SJOGREN PATIENTEN,4,35000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,NATUS VOF,4,3713,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling donatie bij leven,NATUURLIJKE PERSONEN VIA NEDERLANDSE TRANSPLANTATIESTICHTING,2,443876,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Naviva Kraamzorg B.V.,4,46096,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NCOI OPLEIDINGSGROEP,4,840,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,NED CHR BLINDEN- EN SLECHTZIENDENBOND,4,25000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,NED COELIAKIE VERENIGING,4,35000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,NED CYSTIC FIBROSIS STG,4,35000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,NED HYPOFYSE STG,4,323000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,NED PAGET PATIENTEN VERENIGING,4,26000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Regeling Palliatieve en Terminale zorg,NED PATIENTEN VERENIGING WEST-BOMMELERWAARD,3,16593,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,NED STG V GELARYNGECTOMEERDEN,4,35000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NED STG VOOR ESTHETISCHE GENEESKUNDE ,4,75946,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,NED STURGE-WEBER VERENIGING,4,35000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,NED VER V PATIENTEN MET STERNOCOSTOCLAVICULAIRE HYPEROSTOSIS,4,11830,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,NED VER VAN GROEIHORMOON DEFICIENTIE EN BEHANDELING,4,35000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,NED VER VAN HOOFDPIJNPATIENTEN,4,35000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NED VER VOOR KINDERGENEESKUNDE,1,147826,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,NED VERENIGING V DYSLEXIE WOORTBLIND,4,35000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,NED VERENIGING VAN HEMOFILIE PATIENTEN,4,35000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NEDERLANDS GENOOTSCHAP VAN,1,131330,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NEDERLANDS INSTITUUT VOOR,1,87522,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NEDERLANDSE ASSOCIATIE VAN PHYSICIAN ASSISTANTS,4,92462,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NEDERLANDSE FEDERATIE VAN,2,512958,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NEDERLANDSE FEDERATIE VAN UNIVERSITAIR MEDISCHE CENTRA,4,484484,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NEDERLANDSE FEDERATIE VAN UNIVERSITAIR MEDISCHE CENTRA,4,1989363,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,NEDERLANDSE HYPERVENTILATIE,4,35000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,NEDERLANDSE KLINEFELTER,4,35000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,Nederlandse Leverpatienten Vereniging,4,35000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NEDERLANDSE MIJ TOT BEVORDERING DER TANDHEELKUNDE,4,112617,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,NEDERLANDSE OBESITAS VERENIGING,4,35000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NEDERLANDSE PATIENTEN,2,356639,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NEDERLANDSE PATIENTEN CONSUMENTEN FEDERATIE,3,5506123,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NEDERLANDSE PATIENTEN CONSUMENTEN FEDERATIE,4,961840,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,NEDERLANDSE PATIENTEN CONSUMENTEN FEDERATIE,4,3235000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Regeling Palliatieve en Terminale zorg,NEDERLANDSE PATIENTENVERENIGING AFD ELBURG,3,2324,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Regeling Palliatieve en Terminale zorg,NEDERLANDSE PATIENTENVERENIGING AFDELING ZEIST,3,25443,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,NEDERLANDSE PHENYLKETONURIE VERENIGING,4,35000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,NEDERLANDSE RETT SYNDROOM,4,35000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NEDERLANDSE RODE KRUIS,3,380229,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,NEDERLANDSE RODE KRUIS,4,54425,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,Nederlandse Roma Vereniging,7,10250,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NEDERLANDSE STG VOOR HET DOVE EN,2,145106,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kwaliteitsimpuls Personeel Ziekenhuiszorg,NEDERLANDSE STG VOOR HET DOVE EN SLECHTHORENDE KIND,4,18700,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,NEDERLANDSE STOMAVERENIGING,4,80308,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NEDERLANDSE TRANSPLANTATIE,2,3490822,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,NEDERLANDSE VERENIGING SLAAP APNEU PATIENTEN,4,35000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NEDERLANDSE VERENIGING VAN,2,8000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,Nederlandse Vereniging van Hoofdpijnpatienten,4,35000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,Nederlandse Vereniging van Rugpatie,4,35000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NEDERLANDSE VERENIGING VOOR,1,57493,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NEDERLANDSE VERENIGING VOOR,2,92500,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NEDERLANDSE VERENIGING VOOR AUTISME,3,22000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,NEDERLANDSE VERENIGING VOOR AUTISME,4,44090,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,Nederlandse Vereniging voor Narcolepsie,4,161000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NEDERLANDSE VERENIGING VOOR PLEEGOUDERS,5,149078,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NEDERLANDSE VERENIGING VOOR PLEEGOUDERS,5,159600,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NEDERLANDSE VOLLEYBAL BOND,6,2331923,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,NETWERK VAN ORGANISATIES VAN OUDERE MIGRANTEN,4,14760,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,NEUROFIBROMATOSE VERENIGING,4,35000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,NEVUS NETWERK NEDERLAND,4,25000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,NewCare4You B.V.,4,2680,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NHL HOGESCHOOL,3,150000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NHL HOGESCHOOL,4,2500,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling vaccinatie stageplaatsen zorg,NHL HOGESCHOOL,4,32375,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,NICO ADRIAANS STICHTING,4,3492,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Nicole Coppens Advies in Autisme,4,2126,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,NIERPATIENTEN VERENIGING,4,215000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,NIEUW LEVEN KRAAMZORG,4,9589,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Nieuw Rotterdams Pijl Medical,4,287,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,NIEUW WOELWYCK DORPSGEMEENSCH,4,18368,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Nieuwe Eindhovense Opvang Stichting,4,26954,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Nieuwen Noort,4,2976,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NIOD INSTITUUT VOOR OORLOGS,7,749265,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,No Distance,4,4454,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NOC * NSF,6,30281573,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,NOCHT EN WILLE ZORG BV,4,4898,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,NOORD NEDERLANDSE COOPERATIE VAN,4,95375,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NOORDERPOORT COLLEGE,4,2500,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling vaccinatie stageplaatsen zorg,NOORDERPOORT COLLEGE,4,125625,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,"Norg en Norg-Schulpen, huisartsen",4,709,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NOVA COLLEGE,4,2500,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,NOVA ZEMBLA ZORGGROEP BV,4,16407,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,NOVA ZORGBOERDERIJ BV,4,12729,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,NOVADIC KENTRON,4,71818,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Novo Elmar Kraamzorg B.V.,4,1299,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,NOVOCARE BV,4,6028,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,NOVUM-Plus Zorg & Verpleging B.V.,4,6116,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Regeling Palliatieve en Terminale zorg,NPV-afdeling-Graafstroom,3,387,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NTI B.V.,4,655,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,NUZORG,4,3653,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,NVZ VERENIGING VAN ZIEKENHUIZEN,4,411387,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,ODION,4,71703,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Oelen Cars,4,371,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,OLCEA NIEUWE ZORGLANDSCHAP BV,4,3018,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Oldenburg en Kemper huisartsen,4,287,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,OMEGA GROEP BV,4,2632,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,ONDERWIJSGROEP TILBURG,4,2500,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Ons Verlangen onroerend goed B.V.,4,3155,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling transitie medisch specialistische zorg,OOGHEELKUNDE ZONNESTRAAL BV,2,80000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Oogheelkundig Medisch Centrum,4,810,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,OOGVERENIGING NEDERLAND,2,62946.84,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,OOGVERENIGING NEDERLAND,4,210000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Oosterkamp,4,2497,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Oosthoeve,4,759,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,OP WEG COACHING,4,3897,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Regeling Palliatieve en Terminale zorg,OPELLA,3,42036,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,OPELLA,4,415227,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,OPPEWAL & OESEBURG THODN,4,4960,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,OPPSTAP,4,625,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,OPVANG UNIEK,4,4536,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,OPVOEDPOLI BV,4,1451,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,OPVOEDPOLI BV,4,6900,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Ora et Labora B.V.,4,2403,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Oranjeborg B.V.,4,9356,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,orgb B.V.,4,501,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,ORTHOPEDAGOGISCHE PRAKTIJK DE REGEN,4,3172,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,Orthopedagogische Praktijk Ermelo,4,27249,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling transitie medisch specialistische zorg,ORTHOPEDIUM BV,2,720000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,OSTEOPOROSE VERENIGING,4,35000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,OUDERENBOND IN NEDERLAND  PROT,4,185001,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,OUDERENCENTRUM BEEK EN BOS,4,5247,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Ouderenopvang Roden,4,304,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,OUDERS VAN EEN OVERLEDEN KIND,4,35000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,OUDIJK HESSELINK VOF,4,590,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,OUTDOOR CARE,4,2514,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,OVERBRUCHT,4,2590,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Overkamp Advies & Zorg B.V,4,1710,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,OZO B.V.,4,4504,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,P.G. BASIC,4,1485,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,"P.J.T. Pulles, huisarts",4,405,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,PACK & ZO,4,2549,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,PARKFLAT  STADSFENNE COOP UA,4,6465,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,PARKINSON PATIENTEN VERENIGING,4,35000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Parktuinderij de Es,4,1485,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Parlijn Zorgorganisatie B.V.,4,1046,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Particulier Kraamzorgburo Zoetermee,4,1586,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,PARTICULIERE WOONZORGVOORZIENING HU,4,1113,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Parzival Wonen B.V.,4,1822,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Pasana Care B.V.,4,134309,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Passe-Partout B.V.,4,2784,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,PATIENTEN VERENIGING VOOR NEUROSTIMULATIE,4,32185,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,PATIENTENVER AANGEBOREN HARTAFWIJKINGEN,4,35000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,PATIENTENVERENIGING COMPLEX REGIONAAL PIJN SYNDROOM CRPS,4,35000,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Beleidskader Anonieme E-mental health,PBG ZORGHOLDING BV,2,174945,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,PBG ZORGHOLDING BV,4,657586,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,PEER-DORUSSEN,4,641,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,PEGASUS BEGELEIDING,4,354,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Pegasus Huisartsen,4,679,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Pension Maaszicht,4,5415,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Kaderregeling VWS-subsidies,PER SALDO,3,2024672,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Patienten- en gehandicaptenorganisaties,PER SALDO,4,21190,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,PGB-ZORG-JAN,4,7433,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,PGZ,4,4808,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,PI GROEP BV,4,8888,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,PIOENROOS BV,4,1265,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,PIVOT4 BV,4,11316,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Planaid B.V.,4,911,2015
"Ministerie van Volksgezondheid, Welzijn en Sport",Subsidieregeling Stageplaatsen Zorg,Plushome B.V.,4,928,2015
