AD officiele benaming,Nationale identificatie / Aansluitnummer,AD vestigingsadres,AD plaats,AD postcode,AD land,Internetadres aanbestedende dienst
Gemeente Beek,4502576,Raadhuisstraat 9,Beek,6191KA,Nederland,http://www.gemeentebeek.nl
Recreatieschap Spaarnwoude,221824484,Genieweg 46,VELSEN-ZUID,1981 LN,Nederland,http://www.spaarnwoude.nl
Stichting Openbare Verlichting FryslÃƒÂ¢n,572300580,Venus 4,Heerenveen,8448 GW,Nederland,
Stichting Europeana,241947272,Pr Willem-Alexanderhof 5,S-GRAVENHAGE,2595BE,Nederland,http://www.europeana.eu
Gemeente Delfzijl,382062369,J. van den Kornputplein 10,Delfzijl,9934 EA,Nederland,http://www.delfzijl.nl
CZ Zorgverzekeraar,391751468,Ringbaan West 236,Tilburg,5038 KE,Nederland,
CSG Reggesteyn,16725120,Noetselerbergweg 20,NIJVERDAL,7441BK,Nederland,http://www.reggesteyn.nl
Stichting ROOBOL (Regionaal Orgaan Openbaar Basisonderwijs Lauwersland),432378811,Kerkstraat 51,Buitenpost,9285 TA,Nederland,
Stichting Speciaal Onderwijs Eindhoven,341724696,Weegschaalstraat 3,EINDHOVEN,5632CW,Nederland,http://www.ssoe.nl
Stichting NHTV internationale hogeschool Breda,121857358,Mgr. Hopmansstraat 1,BREDA,4817JT,Nederland,http://www.nhtv.nl
Samenwerkingsstichting Voortgezet Onderwijs Regio Venlo,39707868,Hogeweg 26,VENLO,5911EB,Nederland,http://www.ogvo.nl
Stichting OVO,38735421,Spijksedijk 28,GORINCHEM,4207GN,Nederland,http://www.stichtingovo.nl
Stichting voor Onderwijs op Reformatorische Grondslag,47727860,Utrechtseweg 226,AMERSFOORT,3818ET,Nederland,
Gemeente Ouderkerk,201760914,Dorpsstraat 42,OUDERKERK AAN DEN IJSSEL,2935AD,Nederland,http://www.ouderkerk.nl
Shared Service Center DeSom,522141846,Dick Ketlaan 20,WOGNUM,1687CD,Nederland,http://www.sscdesom.nl
Gemeentehuis De Marne,22638435,9965TD 2,LEENS,9965TD,Nederland,
Stichting voor christelijk voortgezet onderwijs op reformatorische grondslag voor Veenendaal en omgeving,592292777,Vondellaan 4,VEENENDAAL,3906EA,Nederland,http://www.ichthuscollege.nl
Mgr. Frencken College,55663737,Slotlaan 40,OOSTERHOUT,4902AE,Nederland,http://www.frenckencollege.nl
"BAR-Organisatie (Barendrecht, Albrandswaard, Ridderkerk)",421705862,Koningsplein 1,Ridderkerk,2981 EA,Nederland,http://www.ridderkerk.nl
NUON Power Generation B.V.,58522675,Keulsekade 181,UTRECHT,3534AC,Nederland,
BKWI (zelfstandig opererend onderdeel van UWV),48467678,Sint Jacobsstraat 400,Utrecht,3511 BT,Nederland,http://www.uwv.nl
Gemeente Haren,222149447,9750 AA 10,Haren,9750 AA,Nederland,
Gemeenten Coevorden en Borger-Odoorn p/a Combined Business Power B.V.,39686866,Zonnedauw 3,Apeldoorn,7322 EA,Nederland,
"Gemeente Gilze en Rijen, Loon op Zand, Dongen en Waalwijk",54674912,Raadhuisplein 1,Rijen,5121 JX,Nederland,http://www.gilzerijen.nl
"Namens de gemeenten Bloemendaal, Haarlem, Haarlemmerliede en Spaarnwoude, Heemstede en Zandvoort",262273306,Raadhuisplein 1,Heemstede,2101 HA,Nederland,http://www.stichtingrijk.nl
gemeente Westland,522098722,2671 GW 2,Naaldwijk,2671 GW,Nederland,
Veiligheidsregio Rotterdam-Rijnmond,161886824,Wilhelminakade 947,Rotterdam,3072 AP,Nederland,http://www.veiligheidsregio-rr.nl
Provincie Gelderland,56387239,Markt 11,Arnhem,6811 CG,Nederland,http://www.gelderland.nl
Gemeente Kapelle,291672332,Kerkplein 1,Kapelle,4421 AA,Nederland,http://www.kapelle.nl
Samenwerking tussen 13 Friese gemeenten: 7 gemeenten uit Noordwest Friesland (vertegenwoordigd door de Dienst Sociale Zaken en Werkgelegenheid Noardwest FryslÃƒÂ¢n) en 6 gemeenten uit Noordoost Friesland p/a Combined Business Power B.V.,441758948,p/a Eise Eisingastraat 5,Franeker,8801 KE,Nederland,
Gemeente Zeist,242174937,Het Rond 1,Zeist,3701 HS,Nederland,http://www.zeist.nl
"Gemeente Eindhoven, namens gemeenten Zuidoost Brabant",261529808,Stadhuisplein 1,Eindhoven,5611 EM,Nederland,http://www.eindhoven.nl
Stichting Openbaar Voortgezet Onderwijs Amstelveen,62165358,Sportlaan 27,AMSTELVEEN,1185 TB,Nederland,http://www.amstelveencollege.nl
"Gemeente Amsterdam, Stadsdeel Noord",211640241,Buikslotermeerplein 2000,Amsterdam,1025 XL,Nederland,http://www.noord.amsterdam.nl
Anculus namens SPO Utrecht,111780590,Pastoor Petersstraat 170,Eindhoven,5612LW,Nederland,
Ministerie van Sociale Zaken en Werkgelegenheid,19637402,Anna van Hannoverstraat 4,Den Haag,2595 BJ,Nederland,http://www.rijksoverheid.nl/ministeries/szw
Stadsgewest Haaglanden afd Regiotaxi,141781822,Schedeldoekshaven 101,S-GRAVENHAGE,2511 EM,Nederland,http://www.haaglanden.nl
CAK,271786281,2595AK 7,Den Haag,2595AK,Nederland,
Stichting Proominent,571860435,Beukenlaan 4,Ede,6711NH,Nederland,http://www.proominent.nl
Gemeente Barneveld,212057263,3771ER 2,BARNEVELD,3771ER,Nederland,
Gemeente Amersfoort,451541026,Postbus 4000,Amersfoort,3800 EA,Nederland,http://www.amersfoort.nl
Stichting Katholieke Scholengemeenschap Etten Leur en omgeving KSE,1199555,Stijn Streuvelslaan 42,ETTEN-LEUR,4873EB,Nederland,http://www.k-s-e.nl
Stichting Meerkring Openbaar Primair Onderwijs Amersfoort,472148855,Amsterdamseweg 41,AMERSFOORT,3812RP,Nederland,http://www.tenderned.nl
Kantoor en ABS Soest,18696379,Lange Brinkweg 81,SOEST,3764AB,Nederland,http://www.rmn.nl
Pro Mereor t.b.v. Conexus,241981513,Panovenlaan 1,Nijmegen,6525DZ,Nederland,http://www.conexus.nu/
Stichting Hogeschool Rotterdam,10674506,Rochussenstraat 198,Rotterdam,3015 EK,Nederland,http://www.hogeschoolrotterdam.nl
NS Lease B.V.,41680548,Laan van Puntenburg 100,UTRECHT,3511ER,Nederland,http://www.ns.nl
Gemeente Vlaardingen,6116978,Westnieuwland 6,Vlaardingen,3131 VX,Nederland,http://www.vlaardingen.nl
NedTrain B.V.,41680548,Oudeweg 6,Haarlem,2031 CC,Nederland,http://www.nedtrain.nl
AstroTec Holding B.V.,491906538,Oude Hoogeveensedijk 4,DWINGELOO,7991PD,Nederland,http://www.astrotec.nl
Gemeente Hof van Twente,6144293,7471DK 7,GOOR,7471DK,Nederland,
Scholengemeenschap De Rooi Pannen,41711895,Dr. Ahausstraat 1,TILBURG,5042EK,Nederland,http://www.derooipannen.nl
Gemeente Nederlek,21884287,Burg van der Willigenstr 58,LEKKERKERK,2941ES,Nederland,http://www.nederlek.nl
Stichting Scholengroep Rijk van Nijmegen,40698779,p/a Akerstraat 104,Heerlen,6417 BN,Nederland,http://www.sgrvn.nl
Gemeente Boekel,41488068,Sint Agathaplein 2,BOEKEL,5427AB,Nederland,http://www.boekel.nl
Stichting Kennisnet,6693716,Paletsingel 32,ZOETERMEER,2718NT,Nederland,http://www.kennisnet.nl
Wageningen University & Research centre,252057548,Droevendaalsesteeg 4,Wageningen,6708 PB,Nederland,http://www.wageningenur.nl
Gemeente Rotterdam - Serviceorganisatie,402137059,Postbus 1130,ROTTERDAM,3000 BC,Nederland,https://login.commerce-hub.com/index.cfm?fuseAction=__requestBook.description&_kid=0BD60D86-12860
Driestar Educatief,5242405,Burgemeester Jamessingel 2,Gouda,2083 PD,Nederland,http://www.driestar-educatief.nl
Gemeente Eindhoven,261529808,Nachtegaallaan 15,Eindhoven,5613 CM,Nederland,http://www.eindhoven.nl
Rijksvastgoedbedrijf,552550970,Korte Voorhout 7,Den Haag,2511 CW,Nederland,http://www.rijksgebouwendienst.nl
Gemeente Leiden,292140280,p/a Servicepunt71-Inkoop Tweelingstraat 4,Leiden,2312 LX,Nederland,http://www.leiden.nl
Anculus namens Stichting BOOR,162375620,Pastoor Petersstraat 170,Eindhoven,5601 JP,Nederland,http://www.stichtingboor.nl
Radboud Universitair Medisch Centrum,221778972,FC Donderslaan 2,Nijmegen,6525GJ,Nederland,http://www.radboudumc.nl
Pro 10,2472777,Daendelsstraat 57,Den Haag,2595 XT,Nederland,http://www.pro10.nl
Gemeente Rotterdam - Serviceorganisatie,402137059,Postbus 1130,ROTTERDAM,3000 BC,Nederland,https://login.commerce-hub.com/index.cfm?fuseAction=__requestBook.description&_kid=0BD60D86-12875
Gemeente Leudal,81658932,Leudalplein 1,Heythuysen,6093 HE,Nederland,http://www.leudal.nl
Gemeenschappelijke Regeling Samenwerkingsverband Noord-Nederland,5524633,Laan Corpus den Hoorn 200,GRONINGEN,9728JS,Nederland,http://www.snn.eu
BBL Company,152182772,Concourslaan 17,Groningen,9727 KC,Nederland,http://www.bblcompany.com/en/
Ministerie van Infrastructuur en Milieu - ILT,211946370,Koningskade 4,Den Haag,2596 AA,Nederland,
Gemeente Schagen,391946993,Laan 19,Schagen,1741EA,Nederland,http://www.schagen.nl
Uw Holding B.V.,292317389,Aidadreef 10,UTRECHT,3561GE,Nederland,http://www.uw.nl
Gemeente Weert p/a Combined Business Power BV,411684491,Zonnedauw 3,Apeldoorn,7322EA,Nederland,http://www.weert.nl
Raad van State,251903415,2514EN 22,Den Haag,2514EN,Nederland,
Stichting IJkdijk,152528268,Paterswoldseweg 810,GRONINGEN,9728BM,Nederland,http://www.ijkdijk.nl
Stichting De Zorgboog/Hospice de Populier/Sint Jozefsheil,562129500,Roessel 3,BAKEL,5761RP,Nederland,http://www.zorgboog.nl
Pivot Park Screening Centre B.V.,58725631,5342CC 110,OSS,5342CC,Nederland,
Anculus namens Stichting Scholengroep Veluwezoom,57714206,Pastoor Petersstraat 170,Eindhoven,5601 JP,Nederland,http://www.scholengroepveluwezoom.nl
Gemeente Weert en Gemeente Nederweert,81905231,Wilhelminasingel 101,Weert,6000 AZ,Nederland,http://www.weert.nl
Gemeente Rotterdam - Serviceorganisatie,402137059,Postbus 1130,ROTTERDAM,3000 BC,Nederland,https://login.commerce-hub.com/index.cfm?fuseAction=__requestBook.description&_kid=0BD60D86-12925
Gemeente Oisterwijk,232208697,5061 HX 44,Oisterwijk,5061 HX,Nederland,
Gemeente Rotterdam,22071782,Wilhelminakade 179,ROTTERDAM,3072 AP,Nederland,http://www.rotterdam.nl/inkoopenaanbesteding
Gemeente Weststellingwerf,481704527,Griffioenpark 1,Wolvega,8471 KR,Nederland,http://www.tenderned.nl
"Gemeente Amsterdam, Stadsdeel Nieuw-West.",92087566,Pieter Calandlaan 1,Amsterdam,1065 KH,Nederland,
RID De Liemers namens de gemeente Duiven,161596305,p/a Kastanjelaan 3,DUIVEN,6921ER,Nederland,
CV Trade Port noord,441778951,Sint Jansweg 15,Venlo,5928 RC,Nederland,http://www.tradeportnoord.com
"Gemeenten Etten-Leur, Steenbergen en Tholen",142155573,Roosendaalseweg 4,Etten-Leur,4875 AA,Nederland,http://www.etten-leur.nl
Stichting voor Educatie en Beroepsonderwijs Zadkine,541664994,Marten Meesweg 50,ROTTERDAM,3068AV,Nederland,
Gemeente Weert,411684491,Wilhelminasingel 101,WEERT,6001GS,Nederland,http://www.weert.nl
Gemeente Schiedam,6116978,Stadserf 1,Schiedam,3112 DZ,Nederland,http://www.schiedam.nl
"VU medisch centrum, i.c.m. AMC",56465733,De Boelelaan 1105,AMSTERDAM,1081HV,Nederland,http://www.vumc.nl
"Gemeente Peel en Maas mede namens de gemeenten Mook en Middelaar, Gennep, Bergen en Venray.",201658123,Wilhelminaplein 1,PANNINGEN,5981 CC,Nederland,http://www.peelenmaas.nl
Waterschap Scheldestromen,29683349,Kanaalweg 1,MIDDELBURG,4337 PA,Nederland,http://www.scheldestromen.nl
"RID De Liemers namens de gemeente Duiven, Rijnwaarden en Zevenaar",161596305,p/a Kastanjelaan 3,DUIVEN,6921ER,Nederland,
Politie,111668359,Kwekerijweg 6,Zeist,3709 JA,Nederland,http://www.politie.nl
Gemeente Rotterdam - Serviceorganisatie,402137059,Postbus 1130,ROTTERDAM,3000 BC,Nederland,https://login.commerce-hub.com/index.cfm?fuseAction=__requestBook.description&_kid=0BD60D86-12903
Politie,111668359,Kwekerijweg 6,Zeist,3709 JA,Nederland,https://login.commerce-hub.com/index.cfm?fuseAction=__requestBook.description&_kid=638724CD-13180
Omgevingsdienst Brabant Noord,162175277,Gildekamp 8,CUIJK,5431SP,Nederland,http://www.odbn.nl
GR Cocensus,262273306,Jupiterstraat 160,Hoofddorp,2132 HG,Nederland,http://www.cocensus.nl
"Gemeente Leudal, Nederweert & Roermond p/a Combined Business Power BV",81905231,Zonnedauw 3,Apeldoorn,7322EA,Nederland,http://www.nederweert.nl
Gemeente Rotterdam - Serviceorganisatie,402137059,Postbus 1130,ROTTERDAM,3000 BC,Nederland,https://login.commerce-hub.com/index.cfm?fuseAction=__requestBook.description&_kid=0BD60D86-12895
Dienst Gezondheid & Jeugd,582005359,Karel Lotsyweg 40,DORDRECHT,3318AL,Nederland,
Stichting Heid,221909103,Spui 70,Den Haag,2511 BT,Nederland,http://www.denhaag.nl
Inkooporganisatie Jeugdhulp Zeeland i.o.,25737522,Westwal 37,Goes,4461 CM,Nederland,
GVB Exploitatie B.V.,19664070,Arlandaweg 100,AMSTERDAM,1043 HP,Nederland,http://www.gvb.nl
Gemeente Bloemendaal,262273306,Brouwerskolkweg 2,Overveen,2051 ED,Nederland,http://www.Bloemendaal.nl
"Gemeeenten Binnenmaas, Cromstrijen, Korendijk, Oud-Beijerland en Strijen en Waterschap Hollandse Delta",54674912,W. van Vlietstraat 6,Oud-Beijerland,3262 GM,Nederland,http://www.oud-beijerland.nl
NPO,46523827,Bart de Graaffweg 2 45,HILVERSUM,1217ZL,Nederland,https://login.commerce-hub.com/index.cfm?fuseAction=__requestBook.description&_kid=57BD56D1-12971
"Gemeente Rijssen-Holten (in deze door Willis BV, dhr B. Wokke optredend namens aanbesteder)",111610341,Postbus 127323,Amsterdam Zuidoost,1100 AS,Nederland,http://www.rijssen-holten.nl
Gemeente Vlagtwedde p/a Combined Business Power B.V.,37699076,Zonnedauw 3,Apeldoorn,7322 EA,Nederland,
Gemeente Groningen.,23670183,Gedempte Zuiderdiep 98,Groningen,9711 HL,Nederland,
"Rijkswaterstaat Water, Verkeer en Leefomgeving",482071032,Postbus 17,Delft,2628VK,Nederland,http://www.rijkswaterstaat.nl
"Gemeente Cranendonck, Heeze-Leende, Valkenswaard en GRSA2",201654182,Cranendonck 3,Soerendonk,6027 RK,Nederland,
"Ministerie van Defensie, Defensie Materieel Organisatie, Inkoop JIVC",431575409,Herculeslaan 1,Utrecht,3584AB,Nederland,http://www.defensie.nl/dmo
Gemeente Tilburg,32696202,Schouwburgring 103,Tilburg,5038 TK,Nederland,http://www.tilburg.nl
Gemeente Achtkarspelen,21622843,Stationsstraat 18,Buitenpost,9285 ZV,Nederland,http://www.achtkarspelen.nl
Stadsgewest Haaglanden,141781822,Schedeldoekshaven 101,S-GRAVENHAGE,2511EM,Nederland,http://www.haaglanden.nl
AM Groep,32443131,Hoofdweg 583,HOOFDDORP,2131MT,Nederland,http://www.amgroep.nl
Bestuurscentrum Chrono,71725082,Erve Odinck 7,HARDENBERG,7773DE,Nederland,http://www.chronoscholen.nl
Stichting Zuyd Hogeschool,48391788,Nieuw Eyckholt 300,HEERLEN,6419 DJ,Nederland,http://www.zuyd.nl
GVB Infra BV,5953591,Arlandaweg 100,AMSTERDAM,1043 HP,Nederland,http://www.gvb.nl
"Ministerie van Economische Zaken, Rijksdienst voor Ondernemend Nederland",12024663,Prinses Beatrixlaan 2,Den Haag,2595 AL,Nederland,http://www.agentschapnl.nl/onderwerp/aanbesteden-van-innovaties
Gemeente Brunssum,56725331,Lindeplein 1,Brunssum,6444 AT,Nederland,http://brunssum.nl
Stichting SBRCURnet,53715032,Postbus 1819,ROTTERDAM,3000BV,Nederland,http://www.sbrcurnet.nl
Tabijn,5242405,Trompet 1960,Heemskerk,1967 DB,Nederland,http://www.masterkey.nl
Gemeenschappelijke Regeling Belastingsamenwerking gemeenten en hoogheemraadschap Utrecht (BghU),41723948,Arthur van Schendelstraat 500,UTRECHT,3511MH,Nederland,http://www.bghu.nl
IUC-Noord,211658528,9726 AD 2,Groningen,9726 AD,Nederland,
Gemeente Dalfsen p/a Combined Business Power B.V.,392219761,Zonnedauw 3,Apeldoorn,7322EA,Nederland,http://www.dalfsen.nl
Openbaar Ministerie,1670961,3528 BJ 65,Utrecht,3528 BJ,Nederland,
Gemeente Beverwijk,131949539,Stationsplein 48,Beverwijk,1948 LC,Nederland,http://www.beverwijk.nl
N.V. Westerscheldetunnel,49660375,Westerscheldetunnelweg 1,BORSSELE,4454PD,Nederland,http://www.westerscheldetunnel.nl
Het Nederlands Openluchtmuseum,151631971,Hoeferlaan 4,ARNHEM,6816SG,Nederland,http://www.openluchtmuseum.nl
NPO,46523827,Sumatralaan 45,HILVERSUM,1217GP,Nederland,https://login.commerce-hub.com/index.cfm?fuseAction=__requestBook.description&_kid=57BD56D1-13007
Gemeente Helmond,50664505,5701NV 35,Helmond,5701NV,Nederland,
Universitair Medisch Centrum Groningen (UMCG),551914741,Hanzeplein 1,GRONINGEN,9713GZ,Nederland,http://www.umcg.nl
"""Stichting voor Christelijk Voortgezet Onderwijs voor Zuidoost-Utrecht"" p/a IXion advies en aanbesteden",182049362,Postbus 268,RAALTE,8100 AG,Nederland,http://www.cvog.nl
Veiligheidsregio Midden- en West-Brabant,40480500,Tramsingel 71,Breda,4814 ac,Nederland,http://www.veiligheidsregiomwb.nl
NV Maatschappelijk Vastgoed Deventer,52675118,Leeuwenbrug 85,DEVENTER,7411TH,Nederland,
IUC Belastingdienst,12629279,John F. Kennedylaan 8,Apeldoorn,7314 PS,Nederland,http://www.belastingdienst.nl
"Waterschap Vallei en Veluwe, in deze begeleid door Pro 10 B.V., Partners in Procurement & Tendering",6513549,Steenbokstraat 10,Apeldoorn,7324AX,Nederland,http://www.vallei-veluwe.nl
Gemeente Kampen,521686216,Burgemeester Berghuisplein 1,Kampen,8261 DD,Nederland,http://www.tenderned.nl
Amsterdam Protonen Therapie Centrum B.V.,342145003,1066CX 121,AMSTERDAM,1066CX,Nederland,
Stichting Openbaar Voortgezet Onderwijs Tilburg,1722059,Ketelhavenstraat 3,TILBURG,5045NG,Nederland,
Gemeente De Friese Meren,152006451,Herema State 1,JOURE,8501AA,Nederland,http://www.defriesemeren.nl
Christelijke Hogeschool Windesheim,42478353,8017CA 2,ZWOLLE,8017CA,Nederland,
Stichting Brede scholen Haarlemmermeer,531815617,Deltaweg 107,Hoofddorp,2134XS,Nederland,http://www.sbsh.nl
Gemeente Brielle,51739469,3231AP 36,BRIELLE,3231AP,Nederland,
"Gemeente Groningen, Afdeling IGG",23670183,Gedempte Zuiderdiep 98,Groningen,9711 HL,Nederland,http://www.groningen.nl
Bestuurscentrum Gemeente Meerssen,4271154,6231LE 51,MEERSSEN,6231LE,Nederland,
The Embassy of the Kingdom of the Netherlands in Juba,5910447,"Old Airport Road, opposite the New Sudan Palace hotel 0",Juba,2594 AC,Soedan,http://www.government.nl/ministries/bz
Gemeente Oegstgeest,292140280,Rhijngeesterstraatweg 13,Oegstgeest,2340 BG,Nederland,http://www.oegstgeest.nl
Markland College Oudenbosch,2601631,Pagnevaartweg 7,OUDENBOSCH,4731AA,Nederland,http://www.markland.nl
gemeente Hellendoorn,101717946,Willem-Alexanderstraat 7,NIJVERDAL,7442MA,Nederland,http://www.hellendoorn.nl
Gemeente Hoorn,341772977,Nieuwe Steen 1,Hoorn,1620 HV,Nederland,http://www.hoorn.nl
"CoÃƒÂ¶peratie Gastvrije Randmeren, namens deze Dienst Landelijk Gebied",532146326,Roosendaalsestraat 64,Arnhem,6800 ED,Nederland,http://www.dienstlandelijkgebied.nl
Stichting Museum voor Industrie en Samenleving,261961153,Museumplein 2,Kerkrade,6461 MA,Nederland,http://www.continium.nl
Stichting Katholiek Basisonderwijs Oss,171868257,Nieuwe Hescheweg 11,OSS,5342EB,Nederland,http://www.skbo.nl
Gemeente Alkmaar,22159309,Langestraat 97,ALKMAAR,1811JD,Nederland,http://www.alkmaar.nl/eCache/70719/Jeugdzorg
Christelijke Scholengemeenschap Veenendaal p/a PSI BV,381833422,Boeierstraat 10,RAALTE,8102HS,Nederland,http://www.de-csv.nl
NS Reizigers B.V.,41680548,Laan van Puntenburg 100,UTRECHT,3511 ER,Nederland,http://www.ns.nl
GrondExploitatieMaatschappij Vroondaal,332065202,Vroonhoevelaan 2,S-GRAVENHAGE,2553 ES,Nederland,http://www.vroondaal.nl
Schouwburg Junushoff,541650449,Plantsoen 3,WAGENINGEN,6701AS,Nederland,http://www.junushoff.nl
Rijksvastgoedbedrijf,552550970,Korte Voorhout 7,Den Haag,2511 CW,Nederland,http://www.rijksvastgoedbedrijf.nl
Keyrail,332156876,Develsingel 11,ZWIJNDRECHT,3333LD,Nederland,http://www.keyrail.nl
Gemeente Lochem,46477807,Markt 3,Lochem,7241 AA,Nederland,http://www.lochem.nl
Gemeente Gilze en Rijen,161601578,Raadhuisplein 1,RIJEN,5121JX,Nederland,http://www.gilzerijen.nl
Gemeente Urk,471893515,8321 GT 9,Urk,8321 GT,Nederland,
Stichting RIJK namens Gemeente De Ronde Venen en Veiligheidsregio Kennemerland,262273306,Raadhuisplein 1,Heemstede,2101 HA,Nederland,http://www.stichtingrijk.nl
"Ministerie van Economische Zaken,Inkoop UitvoeringsCentrum, Rijksdienst voor Ondernemend Nederland",25473568,Postbus 322,Assen,9400 AH,Nederland,http://www.rvo.nl
Avri,52683150,4191 NK 15,Geldermalsen,4191 NK,Nederland,
"U Centraal, namens deze: Van Druenen Aanbestedingsadvies B.V.",152224523,Pieterskerkhof 16,Utrecht,3512 JR,Nederland,http://www.u-centraal.nl
Gemeente Westvoorne,592160050,Raadhuislaan 6,ROCKANJE,3235AP,Nederland,http://www.westvoorne.nl
Stichting Openbaar Basis Onderwijs Westelijke Tuinsteden,14519066,Marius Bauerstraat 399,AMSTERDAM,1062AP,Nederland,http://www.stwt.nl
RDW ICT,4443194,Rozenburglaan 5,Groningen,9727 DL,Nederland,http://www.rdw.nl
Waterschap Vechtstromen,331835633,7609 PZ 1,Almelo,7609 PZ,Nederland,
Gemeente Rotterdam - Serviceorganisatie,402137059,Postbus 1130,ROTTERDAM,3000 BC,Nederland,https://login.commerce-hub.com/index.cfm?fuseAction=__requestBook.description&_kid=0BD60D86-13192
Christelijk Lyceum Veenendaal,61687812,Kerkewijk 149,VEENENDAAL,3904JC,Nederland,http://www.clv.nl
"Stichting Gerrit Rietveld Academie te Amsterdam, Hogeschool voor Beeldende Kunst en Vormgeving",11406997,Fred. Roeskestraat 96,AMSTERDAM,1076ED,Nederland,http://www.icsadviseurs.nl
Stichting Novadic-Kentron Groep,411753156,5261LX 3,VUGHT,5261LX,Nederland,
Regionaal Reinigingsbedrijf Avalex,41698629,Laan van 's-Gravenmade 9,S-GRAVENHAGE,2495BD,Nederland,http://www.avalex.nl
Gemeente Best,301647183,Raadhuisplein 1,Best,5683 AE,Nederland,http://www.tenderned.nl
Nationale ombudsman,59458487,2594 AG 151,Den Haag,2594 AG,Nederland,
Willem Lodewijk Gymnasium,48440281,Verzetsstrijderslaan 220,GRONINGEN,9727CK,Nederland,
Gemeente Ubbergen,102263375,Schoenaker 10,BEUNINGEN,6641SZ,Nederland,http://www.vkj.nl
Gemeente Utrecht,71663234,Stadsplateau 1,UTRECHT,3521 AZ,Nederland,http://www.utrecht.nl/concerninkoop
