Deelnemer,Gemeenschappelijke regeling,Postcode,Plaats,Provincie
Voerendaal,Stadsregio Parkstad Limburg,6400 AE ,Heerlen,Provincie Limburg
Blaricum,Stichting basisonderwijs Gooi en Vechtstreek / Stichting Villa Primair,1270 AE,Huizen,Provincie Noord-Holland
Bussum,Stichting basisonderwijs Gooi en Vechtstreek / Stichting Villa Primair,1270 AE,Huizen,Provincie Noord-Holland
Eemnes,Stichting basisonderwijs Gooi en Vechtstreek / Stichting Villa Primair,1270 AE,Huizen,Provincie Noord-Holland
Huizen,Stichting basisonderwijs Gooi en Vechtstreek / Stichting Villa Primair,1270 AE,Huizen,Provincie Noord-Holland
Laren,Stichting basisonderwijs Gooi en Vechtstreek / Stichting Villa Primair,1270 AE,Huizen,Provincie Noord-Holland
Muiden,Stichting basisonderwijs Gooi en Vechtstreek / Stichting Villa Primair,1270 AE,Huizen,Provincie Noord-Holland
Naarden,Stichting basisonderwijs Gooi en Vechtstreek / Stichting Villa Primair,1270 AE,Huizen,Provincie Noord-Holland
Stichtse Vecht,Stichting basisonderwijs Gooi en Vechtstreek / Stichting Villa Primair,1270 AE,Huizen,Provincie Noord-Holland
Weesp,Stichting basisonderwijs Gooi en Vechtstreek / Stichting Villa Primair,1270 AE,Huizen,Provincie Noord-Holland
Wijdemeren,Stichting basisonderwijs Gooi en Vechtstreek / Stichting Villa Primair,1270 AE,Huizen,Provincie Noord-Holland
Nunspeet,Stichting D.G. van Beuningenfonds,8070 AB,Nunspeet,Provincie Gelderland
Provincie Drenthe,Stichting Landelijk Meldpunt Afvalstoffen,2598 AC,'s-Gravenhage,Provincie Zuid-Holland
Provincie Flevoland,Stichting Landelijk Meldpunt Afvalstoffen,2598 AC,'s-Gravenhage,Provincie Zuid-Holland
Provincie Fryslân,Stichting Landelijk Meldpunt Afvalstoffen,2598 AC,'s-Gravenhage,Provincie Zuid-Holland
Provincie Gelderland,Stichting Landelijk Meldpunt Afvalstoffen,2598 AC,'s-Gravenhage,Provincie Zuid-Holland
Provincie Groningen,Stichting Landelijk Meldpunt Afvalstoffen,2598 AC,'s-Gravenhage,Provincie Zuid-Holland
Provincie Limburg,Stichting Landelijk Meldpunt Afvalstoffen,2598 AC,'s-Gravenhage,Provincie Zuid-Holland
Provincie Noord Brabant,Stichting Landelijk Meldpunt Afvalstoffen,2598 AC,'s-Gravenhage,Provincie Zuid-Holland
Provincie Noord-Holland,Stichting Landelijk Meldpunt Afvalstoffen,2598 AC,'s-Gravenhage,Provincie Zuid-Holland
Provincie Overijssel,Stichting Landelijk Meldpunt Afvalstoffen,2598 AC,'s-Gravenhage,Provincie Zuid-Holland
Provincie Utrecht,Stichting Landelijk Meldpunt Afvalstoffen,2598 AC,'s-Gravenhage,Provincie Zuid-Holland
Provincie Zeeland,Stichting Landelijk Meldpunt Afvalstoffen,2598 AC,'s-Gravenhage,Provincie Zuid-Holland
Provincie Zuid-Holland,Stichting Landelijk Meldpunt Afvalstoffen,2598 AC,'s-Gravenhage,Provincie Zuid-Holland
Epe,"Streekarchief Epe, Hattem en Heerde",8160 AP,Epe,Provincie Gelderland
Hattem,"Streekarchief Epe, Hattem en Heerde",8160 AP,Epe,Provincie Gelderland
Heerde,"Streekarchief Epe, Hattem en Heerde",8160 AP,Epe,Provincie Gelderland
Blaricum,Streekarchief Gooi en Vechtstreek,1201 GM,Hilversum,Provincie Noord-Holland
Hilversum,Streekarchief Gooi en Vechtstreek,1201 GM,Hilversum,Provincie Noord-Holland
Laren,Streekarchief Gooi en Vechtstreek,1201 GM,Hilversum,Provincie Noord-Holland
Wijdemeren,Streekarchief Gooi en Vechtstreek,1201 GM,Hilversum,Provincie Noord-Holland
Aalburg,Streekarchief Land van Heusden en Altena,5256 AT,Heusden,Provincie Noord-Brabant
Heusden,Streekarchief Land van Heusden en Altena,5256 AT,Heusden,Provincie Noord-Brabant
Waalwijk,Streekarchief Land van Heusden en Altena,5256 AT,Heusden,Provincie Noord-Brabant
Werkendam,Streekarchief Land van Heusden en Altena,5256 AT,Heusden,Provincie Noord-Brabant
Woudrichem,Streekarchief Land van Heusden en Altena,5256 AT,Heusden,Provincie Noord-Brabant
Gouda,Streekarchief Midden-Holland,2806 CA,Gouda,Provincie Zuid-Holland
Krimpen aan den Ijssel,Streekarchief Midden-Holland,2806 CA,Gouda,Provincie Zuid-Holland
Krimpenerwaard,Streekarchief Midden-Holland,2806 CA,Gouda,Provincie Zuid-Holland
Waddinxveen,Streekarchief Midden-Holland,2806 CA,Gouda,Provincie Zuid-Holland
Zuidplas,Streekarchief Midden-Holland,2806 CA,Gouda,Provincie Zuid-Holland
Brielle,Streekarchief Voorne-Putten & Rozenburg,3230 AB,Brielle,Provincie Zuid-Holland
Hellevoetsluis,Streekarchief Voorne-Putten & Rozenburg,3230 AB,Brielle,Provincie Zuid-Holland
Nissewaard,Streekarchief Voorne-Putten & Rozenburg,3230 AB,Brielle,Provincie Zuid-Holland
Rotterdam,Streekarchief Voorne-Putten & Rozenburg,3230 AB,Brielle,Provincie Zuid-Holland
Waterschap Hollandse Delta,Streekarchief Voorne-Putten & Rozenburg,3230 AB,Brielle,Provincie Zuid-Holland
Westvoorne,Streekarchief Voorne-Putten & Rozenburg,3230 AB,Brielle,Provincie Zuid-Holland
Doesburg,Streekarchivariaat De Liemers en Doesburg,6900 AA,Zevenaar,Provincie Gelderland
Duiven,Streekarchivariaat De Liemers en Doesburg,6900 AA,Zevenaar,Provincie Gelderland
Rijnwaarden,Streekarchivariaat De Liemers en Doesburg,6900 AA,Zevenaar,Provincie Gelderland
Westervoort,Streekarchivariaat De Liemers en Doesburg,6900 AA,Zevenaar,Provincie Gelderland
Zevenaar,Streekarchivariaat De Liemers en Doesburg,6900 AA,Zevenaar,Provincie Gelderland
Ameland,Streekarchivariaat Noord-Oost Friesland,9100 AJ,Dokkum,Provincie Fryslân
Dongeradeel,Streekarchivariaat Noord-Oost Friesland,9100 AJ,Dokkum,Provincie Fryslân
Schiermonnikoog,Streekarchivariaat Noord-Oost Friesland,9100 AJ,Dokkum,Provincie Fryslân
Elburg,StreekarchivariaatNoordwest-Veluwe,8080 AB,Elburg,Provincie Gelderland
Ermelo,StreekarchivariaatNoordwest-Veluwe,8080 AB,Elburg,Provincie Gelderland
Harderwijk,StreekarchivariaatNoordwest-Veluwe,8080 AB,Elburg,Provincie Gelderland
Nunspeet,StreekarchivariaatNoordwest-Veluwe,8080 AB,Elburg,Provincie Gelderland
Oldebroek,StreekarchivariaatNoordwest-Veluwe,8080 AB,Elburg,Provincie Gelderland
Menterwolde,Streekraad Oost-Groningen,9665 JD,Oude Pekela,Provincie Groningen
Oldambt,Streekraad Oost-Groningen,9665 JD,Oude Pekela,Provincie Groningen
Pekela,Streekraad Oost-Groningen,9665 JD,Oude Pekela,Provincie Groningen
Veendam,Streekraad Oost-Groningen,9665 JD,Oude Pekela,Provincie Groningen
Bellingwedde,Streekraad Oost-Groningen (in liquidatie),9665 JD,Oude Pekela,Provincie Groningen
Alphen aan den Rijn,SWA Alphen aan den Rijn,2400 AA,Alphen aan den Rijn,Provincie Zuid-Holland
Kaag en Braassem,SWA Alphen aan den Rijn,2400 AA,Alphen aan den Rijn,Provincie Zuid-Holland
Nieuwkoop,SWA Alphen aan den Rijn,2400 AA,Alphen aan den Rijn,Provincie Zuid-Holland
Brielle,Syntrophos,3201 EL,Spijkenisse,Provincie Zuid-Holland
Nissewaard,Syntrophos,3201 EL,Spijkenisse,Provincie Zuid-Holland
Westvoorne,Syntrophos,3201 EL,Spijkenisse,Provincie Zuid-Holland
Krimpen aan den Ijssel,Technisch Bureau Krimpenerwaard,2920 AA,Krimpen aan den Ijssel,Provincie Zuid-Holland
Krimpenerwaard,Technisch Bureau Krimpenerwaard,2920 AA,Krimpen aan den Ijssel,Provincie Zuid-Holland
Olst-Wijhe,Toezichthoudend Orgaan Openbaar Primair Onderwijs Olst-Wijhe en Raalte,8130 AA ,Wijhe,Provincie Overrijssel
Raalte,Toezichthoudend Orgaan Openbaar Primair Onderwijs Olst-Wijhe en Raalte,8130 AA ,Wijhe,Provincie Overrijssel
Bodegraven-Reeuwijk,Toezichthoudend orgaan Stichting Klasse,2740 AK,Waddinxveen,Provincie Zuid-Holland
Gouda,Toezichthoudend orgaan Stichting Klasse,2740 AK,Waddinxveen,Provincie Zuid-Holland
Waddinxveen,Toezichthoudend orgaan Stichting Klasse,2740 AK,Waddinxveen,Provincie Zuid-Holland
Woerden,Toezichthoudend orgaan Stichting Klasse,2740 AK,Waddinxveen,Provincie Zuid-Holland
"Ministerie van Onderwijs, Cultuur en Wetenschap",Tresoar,8911 DH,Leeuwarden,Provincie Fryslân
Provincie Fryslân,Tresoar,8911 DH,Leeuwarden,Provincie Fryslân
Stichting Frysk Letterkundich Museum en Dokumintaasjesintrum,Tresoar,8911 DH,Leeuwarden,Provincie Fryslân
Apeldoorn,Tribuut belastingsamenwerking,8161 CK,Epe,Provincie Gelderland
Epe,Tribuut belastingsamenwerking,8161 CK,Epe,Provincie Gelderland
Lochem,Tribuut belastingsamenwerking,8161 CK,Epe,Provincie Gelderland
Voorst,Tribuut belastingsamenwerking,8161 CK,Epe,Provincie Gelderland
Zutphen,Tribuut belastingsamenwerking,8161 CK,Epe,Provincie Gelderland
Heusden,Uitvoeringsorganisatie Baanbrekers,5144 NX,Waalwijk,Provincie Noord-Brabant
Loon op Zand,Uitvoeringsorganisatie Baanbrekers,5144 NX,Waalwijk,Provincie Noord-Brabant
Provincie Noord Brabant,Uitvoeringsorganisatie Baanbrekers,5144 NX,Waalwijk,Provincie Noord-Brabant
Waalwijk,Uitvoeringsorganisatie Baanbrekers,5144 NX,Waalwijk,Provincie Noord-Brabant
Dalfsen,Uitvoeringsorganisatie Jeugdzorg IJsselland ,8000 GA ,Zwolle,Provincie Overrijssel
Deventer,Uitvoeringsorganisatie Jeugdzorg IJsselland ,8000 GA ,Zwolle,Provincie Overrijssel
Hardenberg,Uitvoeringsorganisatie Jeugdzorg IJsselland ,8000 GA ,Zwolle,Provincie Overrijssel
Kampen,Uitvoeringsorganisatie Jeugdzorg IJsselland ,8000 GA ,Zwolle,Provincie Overrijssel
Olst-Wijhe,Uitvoeringsorganisatie Jeugdzorg IJsselland ,8000 GA ,Zwolle,Provincie Overrijssel
Ommen,Uitvoeringsorganisatie Jeugdzorg IJsselland ,8000 GA ,Zwolle,Provincie Overrijssel
Raalte,Uitvoeringsorganisatie Jeugdzorg IJsselland ,8000 GA ,Zwolle,Provincie Overrijssel
Staphorst,Uitvoeringsorganisatie Jeugdzorg IJsselland ,8000 GA ,Zwolle,Provincie Overrijssel
Steenwijkerland,Uitvoeringsorganisatie Jeugdzorg IJsselland ,8000 GA ,Zwolle,Provincie Overrijssel
Zwartewaterland,Uitvoeringsorganisatie Jeugdzorg IJsselland ,8000 GA ,Zwolle,Provincie Overrijssel
Zwolle,Uitvoeringsorganisatie Jeugdzorg IJsselland ,8000 GA ,Zwolle,Provincie Overrijssel
IJsselstein,Utrechtse Waarden Samenwerking,3401 BK,IJsselstein,Provincie Utrecht
Montfoort,Utrechtse Waarden Samenwerking,3401 BK,IJsselstein,Provincie Utrecht
Aalburg,"Vastgoedinformatie, heffing en waardebepaling (SVHW)",3299 XG,Binnenmaas,Provincie Zuid-Holland
Alblasserdam,"Vastgoedinformatie, heffing en waardebepaling (SVHW)",3299 XG,Binnenmaas,Provincie Zuid-Holland
Barendrecht,"Vastgoedinformatie, heffing en waardebepaling (SVHW)",3299 XG,Binnenmaas,Provincie Zuid-Holland
Binnenmaas,"Vastgoedinformatie, heffing en waardebepaling (SVHW)",3299 XG,Binnenmaas,Provincie Zuid-Holland
Brielle,"Vastgoedinformatie, heffing en waardebepaling (SVHW)",3299 XG,Binnenmaas,Provincie Zuid-Holland
Cromstrijen,"Vastgoedinformatie, heffing en waardebepaling (SVHW)",3299 XG,Binnenmaas,Provincie Zuid-Holland
Goeree-Overflakkee,"Vastgoedinformatie, heffing en waardebepaling (SVHW)",3299 XG,Binnenmaas,Provincie Zuid-Holland
Hardinxveld-Giessendam,"Vastgoedinformatie, heffing en waardebepaling (SVHW)",3299 XG,Binnenmaas,Provincie Zuid-Holland
Hellevoetsluis,"Vastgoedinformatie, heffing en waardebepaling (SVHW)",3299 XG,Binnenmaas,Provincie Zuid-Holland
Korendijk,"Vastgoedinformatie, heffing en waardebepaling (SVHW)",3299 XG,Binnenmaas,Provincie Zuid-Holland
Krimpenerwaard,"Vastgoedinformatie, heffing en waardebepaling (SVHW)",3299 XG,Binnenmaas,Provincie Zuid-Holland
Lansingerland,"Vastgoedinformatie, heffing en waardebepaling (SVHW)",3299 XG,Binnenmaas,Provincie Zuid-Holland
Molenwaard,"Vastgoedinformatie, heffing en waardebepaling (SVHW)",3299 XG,Binnenmaas,Provincie Zuid-Holland
Nieuwkoop,"Vastgoedinformatie, heffing en waardebepaling (SVHW)",3299 XG,Binnenmaas,Provincie Zuid-Holland
Oud-Beijerland,"Vastgoedinformatie, heffing en waardebepaling (SVHW)",3299 XG,Binnenmaas,Provincie Zuid-Holland
Regionale Afvalstoffendienst Hoeksche Waard,"Vastgoedinformatie, heffing en waardebepaling (SVHW)",3299 XG,Binnenmaas,Provincie Zuid-Holland
Strijen,"Vastgoedinformatie, heffing en waardebepaling (SVHW)",3299 XG,Binnenmaas,Provincie Zuid-Holland
Waterschap Hollandse Delta,"Vastgoedinformatie, heffing en waardebepaling (SVHW)",3299 XG,Binnenmaas,Provincie Zuid-Holland
Werkendam,"Vastgoedinformatie, heffing en waardebepaling (SVHW)",3299 XG,Binnenmaas,Provincie Zuid-Holland
Zederik,"Vastgoedinformatie, heffing en waardebepaling (SVHW)",3299 XG,Binnenmaas,Provincie Zuid-Holland
Arnhem,Veiligheids- en Gezondheidsregio Gelderland Midden (VGGM),6802 EJ,Arnhem,Provincie Gelderland
Barneveld,Veiligheids- en Gezondheidsregio Gelderland Midden (VGGM),6802 EJ,Arnhem,Provincie Gelderland
Doesburg,Veiligheids- en Gezondheidsregio Gelderland Midden (VGGM),6802 EJ,Arnhem,Provincie Gelderland
Duiven,Veiligheids- en Gezondheidsregio Gelderland Midden (VGGM),6802 EJ,Arnhem,Provincie Gelderland
Ede,Veiligheids- en Gezondheidsregio Gelderland Midden (VGGM),6802 EJ,Arnhem,Provincie Gelderland
Lingewaard,Veiligheids- en Gezondheidsregio Gelderland Midden (VGGM),6802 EJ,Arnhem,Provincie Gelderland
Nijkerk,Veiligheids- en Gezondheidsregio Gelderland Midden (VGGM),6802 EJ,Arnhem,Provincie Gelderland
Overbetuwe,Veiligheids- en Gezondheidsregio Gelderland Midden (VGGM),6802 EJ,Arnhem,Provincie Gelderland
Renkum,Veiligheids- en Gezondheidsregio Gelderland Midden (VGGM),6802 EJ,Arnhem,Provincie Gelderland
Rheden,Veiligheids- en Gezondheidsregio Gelderland Midden (VGGM),6802 EJ,Arnhem,Provincie Gelderland
Rijnwaarden,Veiligheids- en Gezondheidsregio Gelderland Midden (VGGM),6802 EJ,Arnhem,Provincie Gelderland
Rozendaal,Veiligheids- en Gezondheidsregio Gelderland Midden (VGGM),6802 EJ,Arnhem,Provincie Gelderland
Scherpenzeel,Veiligheids- en Gezondheidsregio Gelderland Midden (VGGM),6802 EJ,Arnhem,Provincie Gelderland
Wageningen,Veiligheids- en Gezondheidsregio Gelderland Midden (VGGM),6802 EJ,Arnhem,Provincie Gelderland
Westervoort,Veiligheids- en Gezondheidsregio Gelderland Midden (VGGM),6802 EJ,Arnhem,Provincie Gelderland
Zevenaar,Veiligheids- en Gezondheidsregio Gelderland Midden (VGGM),6802 EJ,Arnhem,Provincie Gelderland
Appingedam,Veiligheids- en Gezondheidsregio Groningen,9712 HW,Groningen,Provincie Groningen
Bedum,Veiligheids- en Gezondheidsregio Groningen,9712 HW,Groningen,Provincie Groningen
Bellingwedde,Veiligheids- en Gezondheidsregio Groningen,9712 HW,Groningen,Provincie Groningen
De Marne,Veiligheids- en Gezondheidsregio Groningen,9712 HW,Groningen,Provincie Groningen
Delfzijl,Veiligheids- en Gezondheidsregio Groningen,9712 HW,Groningen,Provincie Groningen
Eemsmond,Veiligheids- en Gezondheidsregio Groningen,9712 HW,Groningen,Provincie Groningen
Groningen,Veiligheids- en Gezondheidsregio Groningen,9712 HW,Groningen,Provincie Groningen
Grootegast,Veiligheids- en Gezondheidsregio Groningen,9712 HW,Groningen,Provincie Groningen
Haren,Veiligheids- en Gezondheidsregio Groningen,9712 HW,Groningen,Provincie Groningen
Hoogezand-Sappemeer,Veiligheids- en Gezondheidsregio Groningen,9712 HW,Groningen,Provincie Groningen
Leek,Veiligheids- en Gezondheidsregio Groningen,9712 HW,Groningen,Provincie Groningen
Loppersum,Veiligheids- en Gezondheidsregio Groningen,9712 HW,Groningen,Provincie Groningen
Marum,Veiligheids- en Gezondheidsregio Groningen,9712 HW,Groningen,Provincie Groningen
Menterwolde,Veiligheids- en Gezondheidsregio Groningen,9712 HW,Groningen,Provincie Groningen
Oldambt,Veiligheids- en Gezondheidsregio Groningen,9712 HW,Groningen,Provincie Groningen
Pekela,Veiligheids- en Gezondheidsregio Groningen,9712 HW,Groningen,Provincie Groningen
Slochteren,Veiligheids- en Gezondheidsregio Groningen,9712 HW,Groningen,Provincie Groningen
Stadskanaal,Veiligheids- en Gezondheidsregio Groningen,9712 HW,Groningen,Provincie Groningen
Ten Boer,Veiligheids- en Gezondheidsregio Groningen,9712 HW,Groningen,Provincie Groningen
Veendam,Veiligheids- en Gezondheidsregio Groningen,9712 HW,Groningen,Provincie Groningen
Vlagtwedde,Veiligheids- en Gezondheidsregio Groningen,9712 HW,Groningen,Provincie Groningen
Winsum,Veiligheids- en Gezondheidsregio Groningen,9712 HW,Groningen,Provincie Groningen
Zuidhorn,Veiligheids- en Gezondheidsregio Groningen,9712 HW,Groningen,Provincie Groningen
Appingedam,Veiligheidshuis Groningen,9723 AS,Groningen,Provincie Groningen
Bedum,Veiligheidshuis Groningen,9723 AS,Groningen,Provincie Groningen
Bellingwedde,Veiligheidshuis Groningen,9723 AS,Groningen,Provincie Groningen
De Marne,Veiligheidshuis Groningen,9723 AS,Groningen,Provincie Groningen
Delfzijl,Veiligheidshuis Groningen,9723 AS,Groningen,Provincie Groningen
Eemsmond,Veiligheidshuis Groningen,9723 AS,Groningen,Provincie Groningen
Groningen,Veiligheidshuis Groningen,9723 AS,Groningen,Provincie Groningen
Grootegast,Veiligheidshuis Groningen,9723 AS,Groningen,Provincie Groningen
Haren,Veiligheidshuis Groningen,9723 AS,Groningen,Provincie Groningen
Hoogezand-Sappemeer,Veiligheidshuis Groningen,9723 AS,Groningen,Provincie Groningen
Leek,Veiligheidshuis Groningen,9723 AS,Groningen,Provincie Groningen
Loppersum,Veiligheidshuis Groningen,9723 AS,Groningen,Provincie Groningen
Marum,Veiligheidshuis Groningen,9723 AS,Groningen,Provincie Groningen
Menterwolde,Veiligheidshuis Groningen,9723 AS,Groningen,Provincie Groningen
Oldambt,Veiligheidshuis Groningen,9723 AS,Groningen,Provincie Groningen
Pekela,Veiligheidshuis Groningen,9723 AS,Groningen,Provincie Groningen
Slochteren,Veiligheidshuis Groningen,9723 AS,Groningen,Provincie Groningen
Stadskanaal,Veiligheidshuis Groningen,9723 AS,Groningen,Provincie Groningen
Ten Boer,Veiligheidshuis Groningen,9723 AS,Groningen,Provincie Groningen
Veendam,Veiligheidshuis Groningen,9723 AS,Groningen,Provincie Groningen
Vlagtwedde,Veiligheidshuis Groningen,9723 AS,Groningen,Provincie Groningen
Winsum,Veiligheidshuis Groningen,9723 AS,Groningen,Provincie Groningen
Zuidhorn,Veiligheidshuis Groningen,9723 AS,Groningen,Provincie Groningen
Aalsmeer,Veiligheidsregio Amsterdam-Amstelland,1000 AE,Amsterdam,Provincie Noord-Holland
Amstelveen,Veiligheidsregio Amsterdam-Amstelland,1000 AE,Amsterdam,Provincie Noord-Holland
Amsterdam,Veiligheidsregio Amsterdam-Amstelland,1000 AE,Amsterdam,Provincie Noord-Holland
Beemster,Veiligheidsregio Amsterdam-Amstelland,1000 AE,Amsterdam,Provincie Noord-Holland
Diemen,Veiligheidsregio Amsterdam-Amstelland,1000 AE,Amsterdam,Provincie Noord-Holland
Edam-Volendam,Veiligheidsregio Amsterdam-Amstelland,1000 AE,Amsterdam,Provincie Noord-Holland
Haarlemmermeer,Veiligheidsregio Amsterdam-Amstelland,1000 AE,Amsterdam,Provincie Noord-Holland
Landsmeer,Veiligheidsregio Amsterdam-Amstelland,1000 AE,Amsterdam,Provincie Noord-Holland
Oostzaan,Veiligheidsregio Amsterdam-Amstelland,1000 AE,Amsterdam,Provincie Noord-Holland
Ouder-Amstel,Veiligheidsregio Amsterdam-Amstelland,1000 AE,Amsterdam,Provincie Noord-Holland
Purmerend,Veiligheidsregio Amsterdam-Amstelland,1000 AE,Amsterdam,Provincie Noord-Holland
Uithoorn,Veiligheidsregio Amsterdam-Amstelland,1000 AE,Amsterdam,Provincie Noord-Holland
Waterland,Veiligheidsregio Amsterdam-Amstelland,1000 AE,Amsterdam,Provincie Noord-Holland
Wormerland,Veiligheidsregio Amsterdam-Amstelland,1000 AE,Amsterdam,Provincie Noord-Holland
Zaanstad,Veiligheidsregio Amsterdam-Amstelland,1000 AE,Amsterdam,Provincie Noord-Holland
Zeevang,Veiligheidsregio Amsterdam-Amstelland,1000 AE,Amsterdam,Provincie Noord-Holland
's-Hertogenbosch,Veiligheidsregio Brabant Noord,5212 XA,'s-Hertogenbosch,Provincie Noord-Brabant
Bernheze,Veiligheidsregio Brabant Noord,5212 XA,'s-Hertogenbosch,Provincie Noord-Brabant
Boekel,Veiligheidsregio Brabant Noord,5212 XA,'s-Hertogenbosch,Provincie Noord-Brabant
Boxmeer,Veiligheidsregio Brabant Noord,5212 XA,'s-Hertogenbosch,Provincie Noord-Brabant
Boxtel,Veiligheidsregio Brabant Noord,5212 XA,'s-Hertogenbosch,Provincie Noord-Brabant
Cuijk,Veiligheidsregio Brabant Noord,5212 XA,'s-Hertogenbosch,Provincie Noord-Brabant
Grave,Veiligheidsregio Brabant Noord,5212 XA,'s-Hertogenbosch,Provincie Noord-Brabant
Haaren,Veiligheidsregio Brabant Noord,5212 XA,'s-Hertogenbosch,Provincie Noord-Brabant
Heusden,Veiligheidsregio Brabant Noord,5212 XA,'s-Hertogenbosch,Provincie Noord-Brabant
Landerd,Veiligheidsregio Brabant Noord,5212 XA,'s-Hertogenbosch,Provincie Noord-Brabant
Mill en Sint Hubert,Veiligheidsregio Brabant Noord,5212 XA,'s-Hertogenbosch,Provincie Noord-Brabant
Oss,Veiligheidsregio Brabant Noord,5212 XA,'s-Hertogenbosch,Provincie Noord-Brabant
Schijndel,Veiligheidsregio Brabant Noord,5212 XA,'s-Hertogenbosch,Provincie Noord-Brabant
Sint Anthonis,Veiligheidsregio Brabant Noord,5212 XA,'s-Hertogenbosch,Provincie Noord-Brabant
Sint-Michielsgestel,Veiligheidsregio Brabant Noord,5212 XA,'s-Hertogenbosch,Provincie Noord-Brabant
Sint-Oedenrode,Veiligheidsregio Brabant Noord,5212 XA,'s-Hertogenbosch,Provincie Noord-Brabant
Uden,Veiligheidsregio Brabant Noord,5212 XA,'s-Hertogenbosch,Provincie Noord-Brabant
Veghel,Veiligheidsregio Brabant Noord,5212 XA,'s-Hertogenbosch,Provincie Noord-Brabant
Vught,Veiligheidsregio Brabant Noord,5212 XA,'s-Hertogenbosch,Provincie Noord-Brabant
Aa en Hunze,Veiligheidsregio Drenthe,9400 AC,Assen,Provincie Drenthe
Assen,Veiligheidsregio Drenthe,9400 AC,Assen,Provincie Drenthe
Borger-Odoorn,Veiligheidsregio Drenthe,9400 AC,Assen,Provincie Drenthe
Coevorden,Veiligheidsregio Drenthe,9400 AC,Assen,Provincie Drenthe
De Wolden,Veiligheidsregio Drenthe,9400 AC,Assen,Provincie Drenthe
Emmen,Veiligheidsregio Drenthe,9400 AC,Assen,Provincie Drenthe
Hoogeveen,Veiligheidsregio Drenthe,9400 AC,Assen,Provincie Drenthe
Meppel,Veiligheidsregio Drenthe,9400 AC,Assen,Provincie Drenthe
Midden-Drenthe,Veiligheidsregio Drenthe,9400 AC,Assen,Provincie Drenthe
Noordenveld,Veiligheidsregio Drenthe,9400 AC,Assen,Provincie Drenthe
Tynaarlo,Veiligheidsregio Drenthe,9400 AC,Assen,Provincie Drenthe
Westerveld,Veiligheidsregio Drenthe,9400 AC,Assen,Provincie Drenthe
Almere,Veiligheidsregio Flevoland,8200 AM,Lelystad,Provincie Flevoland
Dronten,Veiligheidsregio Flevoland,8200 AM,Lelystad,Provincie Flevoland
Lelystad,Veiligheidsregio Flevoland,8200 AM,Lelystad,Provincie Flevoland
Noordoostpolder,Veiligheidsregio Flevoland,8200 AM,Lelystad,Provincie Flevoland
Urk,Veiligheidsregio Flevoland,8200 AM,Lelystad,Provincie Flevoland
Zeewolde,Veiligheidsregio Flevoland,8200 AM,Lelystad,Provincie Flevoland
Achtkarspelen,Veiligheidsregio Fryslân,8901 BK,Leeuwarden,Provincie Fryslân
Ameland,Veiligheidsregio Fryslân,8901 BK,Leeuwarden,Provincie Fryslân
Dantumadiel,Veiligheidsregio Fryslân,8901 BK,Leeuwarden,Provincie Fryslân
De Fryske Marren,Veiligheidsregio Fryslân,8901 BK,Leeuwarden,Provincie Fryslân
Dongeradeel,Veiligheidsregio Fryslân,8901 BK,Leeuwarden,Provincie Fryslân
Ferwerderadiel,Veiligheidsregio Fryslân,8901 BK,Leeuwarden,Provincie Fryslân
Franekeradeel,Veiligheidsregio Fryslân,8901 BK,Leeuwarden,Provincie Fryslân
Harlingen,Veiligheidsregio Fryslân,8901 BK,Leeuwarden,Provincie Fryslân
Heerenveen,Veiligheidsregio Fryslân,8901 BK,Leeuwarden,Provincie Fryslân
het Bildt,Veiligheidsregio Fryslân,8901 BK,Leeuwarden,Provincie Fryslân
Kollumerland en Nieuwkruisland,Veiligheidsregio Fryslân,8901 BK,Leeuwarden,Provincie Fryslân
Leeuwarden,Veiligheidsregio Fryslân,8901 BK,Leeuwarden,Provincie Fryslân
Leeuwarderadeel,Veiligheidsregio Fryslân,8901 BK,Leeuwarden,Provincie Fryslân
Littenseradiel,Veiligheidsregio Fryslân,8901 BK,Leeuwarden,Provincie Fryslân
Menameradiel,Veiligheidsregio Fryslân,8901 BK,Leeuwarden,Provincie Fryslân
Ooststellingwerf,Veiligheidsregio Fryslân,8901 BK,Leeuwarden,Provincie Fryslân
Opsterland,Veiligheidsregio Fryslân,8901 BK,Leeuwarden,Provincie Fryslân
Schiermonnikoog,Veiligheidsregio Fryslân,8901 BK,Leeuwarden,Provincie Fryslân
Smallingerland,Veiligheidsregio Fryslân,8901 BK,Leeuwarden,Provincie Fryslân
Súdwest-Fryslân,Veiligheidsregio Fryslân,8901 BK,Leeuwarden,Provincie Fryslân
Terschelling,Veiligheidsregio Fryslân,8901 BK,Leeuwarden,Provincie Fryslân
Tytsjerksteradiel,Veiligheidsregio Fryslân,8901 BK,Leeuwarden,Provincie Fryslân
Vlieland,Veiligheidsregio Fryslân,8901 BK,Leeuwarden,Provincie Fryslân
Weststellingwerf,Veiligheidsregio Fryslân,8901 BK,Leeuwarden,Provincie Fryslân
Berg en Dal,Veiligheidsregio Gelderland-Zuid (VRGZ),6524 TV,Nijmegen,Provincie Gelderland
Beuningen,Veiligheidsregio Gelderland-Zuid (VRGZ),6524 TV,Nijmegen,Provincie Gelderland
Buren,Veiligheidsregio Gelderland-Zuid (VRGZ),6524 TV,Nijmegen,Provincie Gelderland
Culemborg,Veiligheidsregio Gelderland-Zuid (VRGZ),6524 TV,Nijmegen,Provincie Gelderland
