Domain Name,Domain Type,Agency
bulgarije.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
nieuwzeeland.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
shanghai.nlconsulate.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
romania.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
nigeria.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
italy.nlconsulate.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
poland.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
sweden.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
cbho.nl,Rijksoverheid,"Ministerie van Onderwijs, Cultuur en Wetenschap"
pal.nlmission.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
bosnieherzegovina.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
bosniaherzegovina.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
kazakhstan.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
libya.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
algerije.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
georgie.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
klimaatmonitor.databank.nl,Rijksoverheid,Ministerie van Infrastructuur en Milieu
ceaweb.nl,Rijksoverheid,Ministerie van Financiën
nrgd.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
luxemburg.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
rdcongo.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
tanzania.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
rwanda.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
stpetersburg.nlconsulate.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
afghanistan.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
albania.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
lap2.nl,Rijksoverheid,Ministerie van Infrastructuur en Milieu
rwanda.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
labelgique.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
southkorea-kr.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
cultuursubsidie.nl,Rijksoverheid,"Ministerie van Onderwijs, Cultuur en Wetenschap"
guangzhou.nlconsulaat.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
kosovo.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
cyprus.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
yemen.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
slovakia.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
lemali.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
larepubliquedubenin.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
oeso.nlvertegenwoordiging.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
bulgaria.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
mozambique.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
senegal.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
