"cbsId","cbsIdCount","cbsName","cbsComment","cbsShort","cbsShortCount","cbsLong","cbsLongCount"
"GM1940","1","De Fryske Marren","Naamswijziging per 01-01-2016","","","",""
"GM1942","1","Gooise Meren","Ontstaan per 01-01-2016","","","",""
"GR0861","1","AVRI","AVRI","","","",""
"GR0717","1","GB Lococensus-Tricijn (GBLT)","GB Lococensus-Tricijn (GBLT)","","","",""
"GR0857","1","Gemeenschappelijke Regeling Avres","Gemeenschappelijke Regeling Avres","","","",""
"GR0842","1","Gemeenschappelijke Regeling Jeugdhulp ..","Gemeenschappelijke Regeling Jeugdhulp Rijnmond","","","",""
"GR0845","1","Gemeenschappelijke Regeling Werkmaatsc..","Gemeenschappelijke Regeling Werkmaatschappij 8KTD","","","",""
"GR0855","1","Gemeenschappelijke Regeling Werkzaak R..","Gemeenschappelijke Regeling Werkzaak Rivierenland","","","",""
"GR0540","1","GR De Betho","GR De Betho","","","",""
"GR0684","1","GR Regio West-Brabant","GR Regio West-Brabant","","","",""
