Datum afgifte,nummer,SG-Post,Omschrijving goederen,Opgegeven eindgebruik,D/T,Land van eindbestemming,Land van herkomst,Waarde(€),Datum verval
12/17/2007,27434150,1C350-50,Natriumsulfide,Ontharen en behandelen van huiden en vellen,D,Ethiopië,Onbekend,"6,930",12/31/2008
12/17/2007,27417612,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Surveillance en beveiligingsdoeleinden (werven en luchthavens - civiel),T,China,Onbekend,"16,555",12/31/2008
12/17/2007,27426980,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Surveillance en beveiligingsdoeleinden (werven en luchthavens - civiel),T,China,Onbekend,"14,190",31-12-2008
12/18/2007,27438768,1C350-38,Fosforpentachloride,Vervaardiging van geneesmiddelen,D,Zuid-Korea,Onbekend,"204,497",12/31/2010
12/18/2007,27418538,3A233a,Spectrometer,Onderzoek van grondstoffen,D,Zuid-Afrika,Onbekend,"64,523",12/31/2008
12/18/2007,27427103,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv defensie,D,Chili via Israël,Onbekend,"7,880",12/31/2008
12/18/2007,27427111,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Reparatie en onderhoud,D,Zuid-Afrika,Onbekend,"153,150",12/31/2008
12/19/2007,27430740,1C350-07,Fosfortrichloride,Vervaardiging van fosfieten en anti-oxidanten,D,Pakistan,Onbekend,1,12/31/2008
12/20/2007,27357911,1B001a,Draadwindmachines,Vervaardiging van buizen versterkt met glasvezel,D,Saoedi-Arabië,Onbekend,"450,000",12/31/2008
12/20/2007,27437699,5D002c1,Software voor informatiebeveiliging,Informatiebeveiliging,D,Jordanië,Onbekend,"2,000",12/31/2010
12/27/2007,27430937,0B001c,(delen van) Ultra gascentrifuges,Uraniumverrijking,D,Duitsland,Onbekend,"7,500",12/31/2008
12/27/2007,27436862,1C350-50,Natriumsulfide,Ontharen en behandelen van huiden en vellen,D,Ethiopië,Onbekend,"6,930",12/31/2008
12/28/2007,27455344,1C350-50,Natriumsulfide,Ontharen en behandelen van huiden en vellen,D,Eritrea,Onbekend,"6,840",12/31/2008
01/03/2008,27434169,1C350-38,Fosforpentachloride,Vervaardiging van geneesmiddelen,D,Oekraïne,Onbekend,"61,969",01/31/2009
01/03/2008,27446264,1C350-38,Fosforpentachloride,Vervaardiging van geneesmiddelen,D,Oekraïne,Onbekend,"20,656",01/31/2009
01/03/2008,27443524,1C350-46,Triethanolamine,Tbv de textiel- en schoonmaakindustrie,D,Turkije,Onbekend,"30,800",01/31/2009
